Date,Alteraciones de la respiración (count),Análisis del Sueño [Total] (hr),Análisis del Sueño [Asleep] (hr),Análisis del Sueño [In Bed] (hr),Análisis del Sueño [Core] (hr),Análisis del Sueño [Deep] (hr),Análisis del Sueño [REM] (hr),Análisis del Sueño [Awake] (hr),Frecuencia Cardíaca [Min] (count/min),Frecuencia Cardíaca [Max] (count/min),Frecuencia Cardíaca [Avg] (count/min),Frecuencia respiratoria (count/min),Hora de Estar de Pie de Apple (count),Minutos Conscientes (min),Promedio de Frecuencia Cardíaca al Caminar (count/min),Temperatura de Muñeca Mientras Duerme de Apple (degC),Tiempo de Ejercicio de Apple (min),Tiempo de Movimiento de Apple (min),Tiempo en Luz de Día (min),Variabilidad de Frecuencia Cardíaca (ms) 
2024-04-18 00:00:00,,7.316666666666665,0.0,7.316666666666666,4.833333333333332,0.8333333333333334,1.65,0.10833333333333334,43,152,43,14.83,15,,90,,22,,43,83.06,
2024-04-19 00:00:00,,7.233333333333333,0.0,7.233333333333333,4.675,0.5416666666666667,2.0166666666666666,0.11666666666666667,47,158,47,13.84,14,,93,,64,,,66.71,
2024-04-20 00:00:00,,9.249999999999996,0.0,9.25,6.8249999999999975,0.6916666666666667,1.7333333333333334,0.19999999999999998,42,113,42,14.28,13,,,,11,,6,95.21,
2024-04-21 00:00:00,,7.199999999999999,0.0,7.200000000000001,4.875,0.6916666666666668,1.6333333333333333,0.25,46,147,46,14.57,14,,89,,66,,66,101.29,
2024-04-22 00:00:00,,7.749999999999999,0.0,7.75,5.166666666666666,0.8166666666666667,1.7666666666666666,0.2583333333333333,45,143,45,14.5,14,,93,,47,,45,105.86,
2024-04-23 00:00:00,,7.900000000000001,0.0,7.9,4.983333333333334,1.1083333333333334,1.8083333333333333,0.45833333333333337,42,124,42,15.17,12,,,,50,,86,80.8,
2024-04-24 00:00:00,,9.283333333333335,0.0,9.283333333333333,6.425000000000001,0.825,2.033333333333333,0.15833333333333333,45,138,45,13.81,8,,93,,28,,64,80.72,
2024-04-25 00:00:00,,5.016666666666667,0.0,5.016666666666666,3.308333333333333,0.9249999999999999,0.7833333333333333,0.23333333333333334,43,125,43,15.08,12,,,,18,,5,104.34,
2024-04-26 00:00:00,,8.475,0.0,8.475,5.775,0.6916666666666667,2.0083333333333333,0.19999999999999998,48,148,48,13.28,10,,104,,69,,121,100.47,
2024-04-27 00:00:00,,9.3,0.0,9.3,6.2749999999999995,0.9333333333333332,2.091666666666667,0.3833333333333334,47,160,47,14.8,13,,124,,31,,,88.23,
2024-04-28 00:00:00,,8.1,0.0,8.100000000000001,5.091666666666667,1.0416666666666665,1.9666666666666668,0.15833333333333333,49,169,49,14.91,12,,106,,12,,11,79.27,
2024-04-29 00:00:00,,8.233333333333334,0.0,8.233333333333333,5.825,0.6916666666666667,1.7166666666666668,0.11666666666666667,43,109,43,16.01,11,,103,,13,,15,93.19,
2024-04-30 00:00:00,,6.408333333333334,0.0,6.408333333333333,4.033333333333334,1.0916666666666666,1.2833333333333332,0.1,42,146,42,16.22,12,,84,,16,,89,65.59,
2024-05-01 00:00:00,,7.916666666666668,0.0,7.916666666666667,5.500000000000001,0.7333333333333334,1.6833333333333336,0.13333333333333333,44,118,44,15.84,9,,111,,15,,29,78.97,
2024-05-02 00:00:00,,8.666666666666666,0.0,8.666666666666666,5.416666666666666,0.9333333333333333,2.3166666666666664,0.09166666666666666,45,146,45,15.88,13,,63,,35,,78,97.4,
2024-05-03 00:00:00,,6.858333333333334,0.0,6.858333333333333,5.0166666666666675,0.6916666666666668,1.15,0.27499999999999997,45,157,45,15.05,14,,108,,37,,97,72.59,
2024-05-04 00:00:00,,8.433333333333332,0.0,8.433333333333334,5.999999999999999,0.475,1.9583333333333335,0.14166666666666666,49,162,49,15.26,12,,90,,37,,94.34,67.05,
2024-05-05 00:00:00,,8.591666666666669,0.0,8.591666666666667,5.575000000000001,0.8999999999999999,2.1166666666666663,0.24999999999999997,50,188,50,15.52,14,,,,106,,191.66,69.43,
2024-05-06 00:00:00,,6.491666666666666,0.0,6.491666666666667,4.258333333333333,0.6416666666666667,1.5916666666666668,0.24166666666666664,48,138,48,15.96,10,,94,,34,,118,76.46,
2024-05-07 00:00:00,,8.491666666666667,0.0,8.491666666666667,5.708333333333334,0.8999999999999999,1.8833333333333333,0.3,48,152,48,13.55,13,,94,,69,,343.38,113.07,
2024-05-08 00:00:00,,4.941666666666666,0.0,4.941666666666666,3.4416666666666664,0.625,0.875,0.45,49,138,49,14.77,18,,,,34,,159.62,68.62,
2024-05-09 00:00:00,,5.758333333333333,0.0,5.758333333333334,3.5499999999999994,1.2166666666666663,0.9916666666666667,0.16666666666666666,49,118,49,13.06,12,,90,,14,,64,73.34,
2024-05-10 00:00:00,,5.066666666666666,0.0,5.066666666666666,3.6750000000000003,0.6833333333333333,0.7083333333333333,0.19166666666666665,52,145,52,13.8,14,,,,37,,29,102.4,
2024-05-11 00:00:00,,7.833333333333333,0.0,7.833333333333334,4.666666666666666,1.525,1.6416666666666666,0.09166666666666666,49,133,49,13.01,14,,101,,50,,76,98.46,
